"FolderType","ViolationCount","HasNumberingIssue","Filename","Violations","Metadata","Status","LineCount","HasEncodingIssue","HasMarkdownIssue"
"OOP-fundamentals","0","False","01_OOP-Classes-and-Objects-CONDENSED.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","01_OOP-Core-Concepts-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","01_OOP-Core-Concepts-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","01_OOP-Objects-Creation-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","01_OOP-Objects-Creation-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","02_OOP-Encapsulation-Abstraction.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","03_OOP-Inheritance-Polymorphism.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","04_OOP-Advanced-Patterns-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","04_OOP-Advanced-Patterns-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","05_OOP-Fundamentals-Comprehensive-Guide-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","05_OOP-Fundamentals-Comprehensive-Guide-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","06_OOD-Learning-Plan-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","06_OOD-Learning-Plan-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","07_OOD-Basics-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","07_OOD-Basics-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","07_OOD-Basics-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","08_OOP-Abstraction-Encapsulation-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","08_OOP-Abstraction-Encapsulation-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","0","False","08_OOP-Abstraction-Encapsulation-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"OOP-fundamentals","2","True","README.md","System.Object[]","System.Collections.Hashtable","FAIL","1","False","False"
"SOLID-Principles","0","False","01_SOLID-Part1-Single-Responsibility-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","01_SOLID-Part1-Single-Responsibility-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","01_SOLID-Part1-Single-Responsibility-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","01_SOLID-Principles-Track-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","01_SOLID-Principles-Track-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","01_SOLID-Principles-Track-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
